43	6.792	igus GmbH	Köln	Igus fertigt und vertreibt Energieführungsketten und Gleitlager aus Kunststoff sowie flexible Spezialleitungen.
44	6.767	PCC SE	Duisburg	Die PCC ist ein international tätiger wachstumsorientierter Konzern mit Investitionsschwerpunkten in den Bereichen Chemie, Energie, Logistik und Rohstoffe.
45	6.763	Roto Frank AG	Leinfelden Echterdin…	Die Roto Frank AG entwickelt, produziert und vertreibt Systemlösungen und Elemente für die Bauwirtschaft.
46	6.763	IFA Group	Haldensle…	Die IFA Gruppe ist ein stark wachsender Automobilzulieferer. Antriebswellen und Gelenke sind das Kerngeschäft.
47	6.653	IMS Gear SE & Co. KGaA	Donauesc…	IMS Gear ist ein führendes Unternehmen in der Zahnrad- und Getriebetechnik – international aufgestellt, Partner global agierender Kunden und konsequent innovativ.
48	6.631	SMA Solar Technology AG	Niestetal	SMA Solar Technology entwickelt und vertreibt Solar- Wechselrichter.
49	6.617	G. Siempelkamp GmbH & Co. KG	Krefeld	Die Gruppe Siempelkamp entwickelt innovative Großprojekte.
50	6.603	Schumacher Packaging GmbH	Ebersdorf b.Coburg	Schumacher ist ein in der Herstellung vonPapier sowie Verpackungen aller Art aus Well- und Vollpappe tätiges Unternehmen.
51	6.597	KAMAX Holding GmbH & Co. KG	Homberg (Ohm)	Die KAMAX Gruppe ist Marktführer im Bereich der hochfesten Verbindungselemente und zu 100% Zulieferer der Automobilindustrie.
52	6.589	Schunk GmbH & Co. KG	Lauffen am Neckar	Das Familienunternehmen SCHUNK ist weltweiter Kompetenzführer für Greif- und Spanntechnik sowie führender Technologieausrüster von Robotern und Produktionsmaschinen.
53	6.584	apetito AG	Rheine	apetito ist ein führender Anbieter in den Bereichen System-, Retail- und Cateringgeschäft.
54	6.584	Brückner Group GmbH	Siegsdorf	Zu dem Maschinen- und Anlagenbauer gehören die Brückner Maschinenbau, Brückner Servtec, Kiefel Technologies und PackSys Global.
55	6.572	BILSTEIN GROUP	Hagen	Die BILSTEIN Group stellt kaltgewalzte Produkte für eine Reihe verschiedener Branchen her und bietet daran angelehnte Dienstleistungen an.
56	6.570	Kaeser Kompressoren SE	Coburg	Kaeser ist einer der größten und erfolgreichsten Druckluft- Systemanbieter in Europa.
57	6.543	Hans Geis GmbH & Co.	Bad Neustadt a.d.Saale	Die Geis-Gruppe ist ein international tätiges Logistikunternehmen, das weltweite kombinierte Transportlösungen und logistische Dienstleistungen anbietet.
58	6.531	Hugo Kern und Liebers GmbH & Co. KG	Schramberg	Die KERN-LIEBERS Firmengruppe ist ein führendes Technologieunternehmen mit über 125 Jahren Erfahrung in der Herstellung hochkomplexer Teile und Baugruppen mit Schwerpunkten in Federn und Stanzteilen.
59	6.525	Reifenhäuser GmbH & Co. KG Maschinenfabrik	Troisdorf	Reifenhäuser Extrusion ist im Maschinen- und Anlagenbau für die Kunststoff-Verarbeitung tätig.
60	6.516	Gegenbauer Holding SE & Co. KG	Berlin	Die Unternehmensgruppe Gegenbauer zählt zu den führenden Facility Management-Anbietern Deutschlands.
61	6.511	Coroplast Fritz Müller GmbH & Co.KG	Wuppertal	Coroplast ist ein Familienunternehmen, tätig in der Entwicklung und Produktion von technischen Klebebändern, Kabeln, Leitungen und Leitungssatzsystemen.
62	6.505	Unternehmens… Brüder Schlau	Porta Westfalica	Die Unternehmensgruppe Brüder Schlau gehört zu den führenden Einzel- und Großhandelsunternehmen für Raumgestaltung.
63	6.496	I. K. Hofmann Gruppe	Nürnberg	I.K. Hofmann mit Sitz in Nürnberg und fast 70 Niederlassungen im Bundesgebiet sowie Tochtergesellschaften in Österreich, England, Tschechien und den USA gehört zu den größten deutschen Unternehmen im Bereich Zeitarbeit.
64	6.472	Grimme Gruppe	Damme	Grimme ist ein weltweit agierender Hersteller für moderne Kartoffel-, Rüben- und Gemüsetechnik.
65	6.472	Balluff GmbH	Neuhausen auf den Fildern	Balluff ist ein weltweit agierender großer Hersteller von Sensortechnik, Wegaufnehmern und Identifikationssystemen.
66	6.472	BRITA GmbH	Taunusstein	BRITA ist eines der führenden Unternehmen in der Trinkwasseroptimierung.
67	6.465	Geobra Brandstätter GmbH & Co. KG	Zirndorf	Playmobil Geobra Brandstätter ist einer der größten deutscher Spielwarenhersteller, der vor allem durch seine Playmobil-Figuren bekannt ist.
68	6.455	K-Mail-Gruppe (Klingel)	Pforzheim	Klingel ist ein großes deutsches Versandhaus.
69	6.446	ACO Gruppe	Büdelsdorf	ACO ist eine weltweit operierende Unternehmensgruppe aus der Bauindustrie, die sich auf die Herstellung von Bauteilen aus Polymerbeton, Edelstahl, Gusseisen und Kunststoff zur Gebäudeentwässerung spezialisiert hat.
70	6.441	Gelita AG	Eberbach	GELITA ist das führende Unternehmen für die Herstellung und Vermarktung von Kollagenproteinen und bietet Lösungen für Lebensmittel, Pharma, Health & Nutrition und technische Anwendungen.
71	6.421	Faber-Castell AG	Stein	Faber-Castell ist der älteste und größte Hersteller von holzgefassten Stiften und einer der Marktführer bei hochwertigen Produkten zum Schreiben, Zeichnen und Gestalten. Das Unternehmen produziert weltweit, der Stammsitz ist Stein bei Nürnberg.
72	6.410	Klüh Service Management GmbH	Düsseldorf	Klüh Service Management ist ein Multidienstleistungsunternehmen für Catering, Cleaning, Security und Facility Management.
73	6.407	Gebr. Heller Maschinenfabrik GmbH	Nürtingen	Heller baut und vertreibt Werkzeugmaschinen und Fertigungssysteme für die spanende Bearbeitung.
74	6.391	Zwilling J.A. Henckels AG	Solingen	Zwilling J.A. Henckels ist ein Hersteller von Kochmessern, Besteck und Kochtöpfen aus Edelstahl. Diese Produkte stehen ganz klar im Mittelpunkt und machen einen wichtigen Teil des Umsatzes aus.
75	6.388	Rheinische Post Mediengruppe	Düsseldorf	Die Rheinische Post Mediengruppe vereint Tageszeitungen, Anzeigenblätter, Internet-Portale und lokale Hörfunkstationen im In- und Ausland unter ihrem Dach.
76	6.378	OHB AG	Bremen	Die OHB Technology AG ist der erste deutsche börsennotierte Raumfahrtkonzern. Schwerpunkte sind Satelliten, bemannte Raumfahrt und Technologien für Sicherheit und Aufklärung.
77	6.327	Groz-Beckert KG	Albstadt	Groz-Beckert ist ein Hersteller von Nähmaschinennadeln für Schuh-, Strick- oder Filzmaschinen.
78	6.327	Wrede Industrieholding GmbH & Co. KG	Arnsberg	Die Unternehmensgruppe mit den Tochterunternehmen Interprint, einem Produzenten von dekorativen Oberflächen, und keeeper, einem Hersteller von Kunststoff- Haushaltsartikeln.
79	6.308	Eckes-Granini Group GmbH	Nieder-Olm	Eckes-Granini ist einer der führenden Hersteller von Fruchtsäften in Europa.
80	6.302	Nemetschek SE	München	Die Nemetschek Group, ein weltweit führender Softwarehersteller für die AEC-Industrie und die Media- und Entertainment-Branche. bietet Softwarelösungen für den kompletten Workflow von Gebäuden und Infrastrukturprojekten über deren gesamten Lebenszyklus an
81	6.301	Vetter Pharma- Fertigung GmbH & Co. KG	Ravensburg	Vetter ist ein Pharmadienstleister aus Ravensburg. Die weltweit rund 4.400 Mitarbeiter unterstützen Pharma- und Biotechnologieunternehmen von der Wirkstoffentwicklung über die klinische und kommerzielle Abfüllung bis zu vielfältigen Verpackungslösungen fü
82	6.295	PRINTUS GmbH	Offenburg	Printus ist ein Versandhändler für Bürobedarf.
83	6.293	RKW SE	Frankenthal	RKW ist einer der führenden europäischen Hersteller von Polyethylen- und Polypropylen-Folien sowie von Vliesstoffen und Netzen.
84	6.291	Leonhard Kurz Stiftung & Co. KG	Fürth	Kurz ist ein weltweit agierender Anbieter der Heißprägetechnologie und auf seinem Gebiet Weltmarktführer.
85	6.288	Bizerba GmbH & Co. KG	Balingen	Bizerba ist ein weltweit operierendes, in weiten Bereichen marktführendes Technologieunternehmen für professionelle Systemlösungen auf dem Feld der Wäge-, Informations-, Kommunikations- und Food-Servicetechnik.
86	6.283	Piepenbrock Unternehmens… GmbH + Co. KG	Osnabrück	Piepenbrock ist ein deutschlandweit agierendes Unternehmen, das sich auf Gebäudedienstleistungen spezialisiert hat.
87	6.259	Dehner Holding GmbH & Co. KG	Rain am Lech	Dehner ist Europas größte Garten-Center Gruppe und mit derzeit über 120 Standorten in Deutschland und Österreich vertreten.
88	6.230	msg systems ag	Ismaning	Als internationale Unternehmensgruppe ist MSG mit IT- und Branchenlösungen sowie strategischer Beratung tätig.
89	6.224	FERCHAU Engineering GmbH	Gummers…	FERCHAU ist Deutschlands Marktführer für Engineering- und IT-Dienstleistungen. Das Familienunternehmen entwickelt zukunftsweisende Lösungen für alle technischen Branchen.
90	6.188	Thimm Gruppe	Northeim	Die Thimm Gruppe ist führender Lösungsanbieter für Verpackung und Distribution von Waren.
91	6.168	Sennheiser electronic GmbH & Co. KG	Wedemark	Sennheiser ist ein weltweit agierender Hersteller von Audiotechnik.
92	6.156	Engel & Völkers	Hamburg	Engel & Völkers ist ein Dienstleistungsunternehmen in der Vermittlung von hochwertigen Wohn- und Gewerbeimmobilien sowie von Yachten und Flugzeugen im Premium-Segment.
93	6.134	TROX GmbH	Neukirchen- Vluyn	Trox produziert Produkte und Systeme für die Lüftungs- und Klimatechnik.
94	6.134	Duvenbeck Unternehmens…	Bocholt	Duvenbeck ist ein international präsenter und ganzheitlich agierender Full-Service-Logistikdienstleister.
95	6.126	RAFI Gruppe	Berg	Das im Jahr 1900 als „Elektrotechnisches Institut“ gegründete Unternehmen entwickelt und produziert heute elektromechanische Bauelemente wie z.B. Taster, Schalter, Touch Screens und Tastaturen sowie Systeme für die Mensch-Maschine-Kommunikation.
96	6.125	Orafol Europe GmbH	Oranienb…	Die ORAFOL Europe GmbH ist ein führender Hersteller von selbstklebenden graphischen Produkten, Klebebandsystemen und reflektierenden Materialien.
97	6.121	Alnatura Produktions- und Handels GmbH	Bickenbach	Alnatura ist die größte deutsche Bio-Supermarktkette.
98	6.112	Bischof + Klein GRUPPE	Lengerich	Bischof + Klein ist einer der führenden europäischen Komplettanbieter für flexible Verpackungen und technische Folien aus Kunststoff und Kunststoffverbunden.
99	6.106	Ehrmann AG	Oberschö…	Ehrmann ist ein in der Milchverarbeitung tätiges Molkereiunternehmen.
100	6.106	Pfeiffer Vacuum Technology AG	Aßlar	Das Aktienunternehmen mit seinen rund 20 Tochterunternehmen bietet ein umfassendes Leistungs- und Lieferprogramm von Vakuumpumpen über Mess- und Analysegeräte bis hin zu komplexen Vakuumsystemen. Die Busch Holding hält einen entscheidenen Anteil.
